area_code,area,item_code,item,element_code,element,unit,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
173,Poland,236,Soybeans,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,268,296,294,332,67,127,181,208,855,0,0,0,7642,9333,5450
173,Poland,236,Soybeans,5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5817,16007,11284,11429,15813,15224,16457,13757,15913,17076,,,,19297,21748,19064
173,Poland,236,Soybeans,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,429,334,336,525,102,209,249,331,1460,0,0,0,14747,20297,10390
173,Poland,373,Spinach,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030
173,Poland,373,Spinach,5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72524
173,Poland,373,Spinach,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7470
173,Poland,544,Strawberries,5312,Area harvested,ha,30271,34199,41495,44827,46493,47484,45478,48000,50000,57603,48600,48600,48600,48600,47072,56300,56300,56300,56300,57926,62379,63295,60465,46204,61259,53585,50233,52614,58297,61967,65754,37962,44033,52502,55281,55733,52477,54308,53708,37122,50522,46813,55020,52673,52139,50600,49642,49180
173,Poland,544,Strawberries,5419,Yield,hg/ha,35392,28438,40649,38365,34327,32548,40184,42065,38539,31216,39485,43486,39231,38197,45016,47405,59367,44283,47762,41654,42102,32312,33074,30647,34488,33818,32351,28483,30569,27646,36822,40325,29851,35371,33426,34775,28151,36986,37060,41326,32888,32075,35014,38447,39297,38927,35841,41724
173,Poland,544,Strawberries,5510,Production,tonnes,107134,97256,168675,171978,159595,154550,182747,201911,192696,179816,191899,211341,190662,185639,211901,266889,334234,249311,268898,241284,262625,204519,199979,141602,211271,181213,162509,149858,178211,171314,242118,153083,131441,185704,184782,193813,147730,200864,199042,153410,166159,150151,192647,202511,204889,196972,177921,205200
173,Poland,423,String beans,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,7200,7600,7500,7600,5568,7800,6800,6883,7200,6800,7000,6800,5043,6081,6010,7272,7288,7329,7494,7864,6490,7263,7026,5117,6120,6260,6679,6367,
173,Poland,423,String beans,5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,81944,82895,64000,86842,80819,79487,83824,79907,55556,85294,88571,85294,86476,87864,86276,89237,71518,88827,85203,89138,107279,94424,85232,108417,94842,73550,85956,90223,
173,Poland,423,String beans,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,59000,63000,48000,66000,45000,62000,57000,55000,40000,58000,62000,58000,43610,53430,51852,64893,52122,65101,63851,70098,69624,68580,59884,55477,58043,46042,57410,57445,
173,Poland,157,Sugar beet,5312,Area harvested,ha,420700,438000,445300,439900,495857,555035,531957,523313,454818,459762,469643,493019,486382,472589,436375,422827,421653,412247,422659,440221,361348,375751,398915,400467,384477,452638,419364,400274,371714,333131,317448,303000,286300,297257,286179,262046,247432,187484,199936,206225,203512,212018,193671,197638,180119,203389,231716,238920
173,Poland,157,Sugar beet,5419,Yield,hg/ha,298479,327420,306849,294862,316762,272177,294011,300137,311192,220526,337857,305980,336450,339583,336036,336248,331717,341272,340077,379831,315812,294129,391581,291562,346160,394265,378816,379006,337991,394271,357977,443363,410042,428261,409903,437893,512527,464846,542634,483579,573635,582476,580066,682504,519904,664922,678976,598649
173,Poland,157,Sugar beet,5510,Production,tonnes,12557000,14341000,13664000,12971000,15706842,15106801,15640109,15706549,14153586,10138960,15867210,15085414,16364304,16048313,14663764,14217460,13986964,14068824,14373680,16720958,11411793,11051938,15620752,11676090,13309070,17845920,15886194,15170608,12563612,13134383,11363907,13433900,11739509,12730366,11730554,11474820,12681555,8715120,10849200,9972598,11674153,12349546,11234194,13488875,9364467,13523781,15732952,14302910
173,Poland,267,Sunflower seed,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,665,764,566,764,2813,4334,4609,3243,2616,2279,2994,2775,3255,2624,1361,1341,2030,3238,5670
173,Poland,267,Sunflower seed,5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14507,15053,14110,14947,17212,15866,17116,11627,17459,17848,18113,15053,18663,17613,17523,17090,16450,17473,19246,16296
173,Poland,267,Sunflower seed,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,1001,1078,846,1315,4463,7418,5359,5662,4669,4128,4507,5179,5733,4598,2326,2206,3547,6232,9240
173,Poland,495,"Tangerines, mandarins, clementines, satsumas",5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,Poland,495,"Tangerines, mandarins, clementines, satsumas",5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
