"Anise, badian, fennel, coriander",Apples,Apricots,Asparagus,Barley,"Beans, dry","Beans, green",Berries nes,Blueberries,"Broad beans, horse beans, dry",Buckwheat,Cabbages and other brassicas,Carrots and turnips,Cauliflowers and broccoli,Cereals nes,"Cereals, Total",Cherries,"Cherries, sour",Chestnut,Chicory roots,"Chillies and peppers, green",Cucumbers and gherkins,Currants,Fibre Crops Primary,Flax fibre and tow,Fruit Primary,"Fruit, fresh nes","Fruit, stone nes",Garlic,Gooseberries,"Grain, mixed",Grapes,"Hazelnuts, with shell",Hemp tow waste,Hempseed,Hops,"Leeks, other alliaceous vegetables",Lettuce and chicory,Linseed,Lupins,Maize,"Maize, green",Millet,Mushrooms and truffles,Nuts nes,Oats,Oilcrops,"Oilcrops, Cake Equivalent","Oilcrops, Oil Equivalent",Oilseeds nes,"Onions, dry",Peaches and nectarines,Pears,"Peas, dry","Peas, green",Plums and sloes,Potatoes,Pulses nes,"Pulses, Total","Pumpkins, squash and gourds",Rapeseed,Raspberries,"Roots and Tubers, Total",Rye,Soybeans,Spinach,Strawberries,String beans,Sugar Crops Primary,Sugar beet,Sunflower seed,"Tobacco, unmanufactured",Tomatoes,"Treenuts, Total",Triticale,Vegetables Primary,"Vegetables, fresh nes","Vegetables, leguminous nes",Vetches,"Walnuts, with shell",Wheat
0.0,1359825.0,0.0,109994.0,5528891.0,88418.0,182400.0,0.0,47520.0,0.0,85249.0,2238304.0,1133459.0,458418.0,0.0,36559688.0,45084.0,136591.0,0.0,271903.0,0.0,633571.0,255213.0,19248.0,19109.0,2233606.0,64820.0,26754.0,0.0,123766.0,4943307.0,0.0,0.0,6881.0,3357.0,11953.0,278000.0,114834.0,19541.0,145543.0,458463.0,108886.0,0.0,101500.0,0.0,2586877.0,1576759.0,1143468.0,903598.0,39376.0,903884.0,0.0,103334.0,146859.0,91500.0,118721.0,30938420.0,577595.0,945786.0,178800.0,1532796.0,71413.0,30938420.0,8214648.0,0.0,0.0,367106.0,153495.0,12088953.0,12088953.0,0.0,105859.0,631058.0,20215.0,3213640.0,6617837.0,1505358.0,79900.0,70439.0,20215.0,11745399.0
0.0,1820288.0,0.0,109453.0,4040218.0,68894.0,178269.0,0.0,53641.0,0.0,86542.0,1583685.0,914988.0,362638.0,0.0,28307266.0,63600.0,189813.0,500.0,214243.0,0.0,549978.0,309883.0,10846.0,10758.0,2786959.0,60611.0,53462.0,0.0,127185.0,3893642.0,0.0,0.0,6906.0,3013.0,14873.0,248562.0,112502.0,11045.0,159510.0,298439.0,104307.0,0.0,100000.0,0.0,1914061.0,1230837.0,915482.0,740987.0,36166.0,730200.0,0.0,123853.0,125483.0,81764.0,160146.0,25278166.0,376429.0,763903.0,149671.0,1193500.0,65994.0,25278166.0,6034920.0,0.0,0.0,300126.0,119500.0,11721818.0,11721818.0,0.0,87435.0,574224.0,39400.0,2395738.0,5733302.0,1799864.0,74890.0,89647.0,26400.0,9803829.0
0.0,2113181.0,0.0,109202.0,4450283.0,70260.0,171967.0,0.0,58315.0,0.0,103351.0,2362821.0,1239357.0,462870.0,0.0,31950781.0,74423.0,225230.0,100.0,291542.0,0.0,524647.0,288346.0,10413.0,9775.0,3122080.0,60700.0,66655.0,0.0,128973.0,4480825.0,0.0,0.0,12484.0,6114.0,16174.0,278502.0,116485.0,10954.0,104728.0,397513.0,107551.0,0.0,100910.0,0.0,2157961.0,992089.0,742281.0,603764.0,34445.0,973313.0,0.0,158015.0,129828.0,94027.0,161806.0,38237224.0,332497.0,622273.0,165659.0,959929.0,74966.0,38237224.0,7227427.0,0.0,0.0,293518.0,160442.0,16411248.0,16411248.0,0.0,74102.0,517581.0,32000.0,2580086.0,6738709.0,1544282.0,77480.0,58795.0,29900.0,10752843.0
0.0,1683553.0,0.0,108571.0,3743765.0,35742.0,204200.0,0.0,56700.0,0.0,79236.0,2021299.0,1043105.0,391508.0,0.0,30270087.0,68294.0,188176.0,50.0,222936.0,0.0,507442.0,253759.0,15710.0,14681.0,2499033.0,59175.0,46642.0,0.0,120696.0,4358214.0,0.0,0.0,9242.0,4263.0,14101.0,263641.0,113343.0,15692.0,53083.0,276929.0,105055.0,0.0,101539.0,50.0,1880958.0,1205477.0,885909.0,708161.0,56150.0,787230.0,0.0,88812.0,99293.0,88171.0,133191.0,24890640.0,186705.0,350660.0,166959.0,1146379.0,69839.0,24890640.0,7758153.0,0.0,0.0,218453.0,131387.0,12368119.0,12368119.0,0.0,85323.0,531569.0,26400.0,2245148.0,5929738.0,1446843.0,75225.0,27324.0,23800.0,10097321.0
0.0,1522137.0,0.0,108359.0,4357488.0,86544.0,194516.0,82220.0,58656.0,0.0,96344.0,2257077.0,1094487.0,450848.0,0.0,34506752.0,79434.0,220671.0,0.0,256802.0,0.0,562161.0,235411.0,23874.0,23244.0,2535351.0,58044.0,56279.0,0.0,121662.0,5237986.0,0.0,0.0,7062.0,4755.0,18333.0,276752.0,114300.0,24442.0,65770.0,336582.0,101167.0,0.0,102304.0,55.0,2115120.0,2076181.0,1504958.0,1188350.0,60190.0,995220.0,0.0,145803.0,104209.0,91943.0,149275.0,26577192.0,193662.0,408233.0,175522.0,2005683.0,85855.0,26577192.0,8764889.0,0.0,0.0,307018.0,149287.0,14039707.0,14039707.0,0.0,79728.0,570544.0,28955.0,2697816.0,6526013.0,1422320.0,73965.0,28819.0,27800.0,11110836.0
0.0,2233979.0,0.0,108177.0,4596771.0,66162.0,203150.0,87055.0,68000.0,0.0,104792.0,2262725.0,1097975.0,456820.0,0.0,34046935.0,80503.0,226696.0,60.0,268254.0,0.0,451193.0,284944.0,12435.0,12085.0,3247608.0,63700.0,57306.0,0.0,120241.0,4811189.0,0.0,0.0,7729.0,4070.0,18066.0,269286.0,122191.0,13140.0,51435.0,469851.0,105608.0,0.0,105175.0,0.0,2231065.0,792564.0,598339.0,489776.0,46772.0,881079.0,0.0,98102.0,117866.0,85859.0,177188.0,28761810.0,205389.0,394465.0,185500.0,747828.0,76907.0,28761810.0,8090864.0,0.0,0.0,268616.0,147624.0,18692823.0,18692823.0,0.0,77404.0,351088.0,26393.0,2857420.0,5997616.0,1404292.0,76633.0,23874.0,25333.0,11090956.0
0.0,2390467.0,0.0,107550.0,5139227.0,84189.0,202100.0,93622.0,64234.0,0.0,103199.0,2184080.0,1098724.0,437718.0,0.0,34327440.0,77314.0,210103.0,200.0,190255.0,0.0,482643.0,244711.0,9424.0,8883.0,3352935.0,48584.0,56866.0,0.0,106994.0,5562839.0,0.0,0.0,7188.0,3860.0,17312.0,263040.0,115737.0,9595.0,56964.0,547644.0,108533.0,0.0,106617.0,0.0,2281586.0,969037.0,716614.0,576288.0,43109.0,835156.0,0.0,108033.0,101619.0,92559.0,198461.0,22241111.0,191000.0,386221.0,176550.0,930997.0,84852.0,22241111.0,7620494.0,0.0,0.0,245093.0,141790.0,16684374.0,16684374.0,0.0,68441.0,336571.0,28214.0,2500008.0,5856901.0,1338084.0,78757.0,21120.0,25157.0,10779837.0
0.0,1951948.0,0.0,106538.0,4780985.0,92108.0,201263.0,102316.0,69457.0,0.0,115182.0,2467028.0,1322316.0,500779.0,0.0,36033151.0,85712.0,235352.0,150.0,272472.0,0.0,566931.0,260140.0,7791.0,7587.0,2983321.0,34806.0,57673.0,0.0,105337.0,5761370.0,0.0,0.0,7263.0,5045.0,15355.0,229167.0,94533.0,8166.0,60045.0,639815.0,88223.0,0.0,103214.0,0.0,2047359.0,1636183.0,1178077.0,924210.0,54635.0,1006611.0,0.0,142993.0,113580.0,79857.0,172839.0,27444051.0,246998.0,462497.0,161100.0,1588665.0,92724.0,27444051.0,7979240.0,0.0,0.0,230955.0,102756.0,15949888.0,15949888.0,0.0,76493.0,529663.0,25684.0,2726229.0,6677784.0,1336949.0,62833.0,25616.0,23547.0,12204138.0
0.0,1866544.0,26953.0,107065.0,4539274.0,86551.0,203305.0,117404.0,78247.0,0.0,120910.0,2117241.0,1216739.0,413157.0,0.0,34481217.0,76485.0,220597.0,100.0,174803.0,0.0,554593.0,232487.0,31991.0,32203.0,2863035.0,17000.0,56000.0,0.0,90339.0,5326296.0,0.0,0.0,7263.0,4498.0,17312.0,274143.0,122191.0,8649.0,54686.0,761094.0,103920.0,0.0,105590.0,0.0,2043926.0,1754039.0,1282519.0,1021206.0,60564.0,922713.0,52400.0,121167.0,102083.0,88979.0,151078.0,21351732.0,294692.0,487813.0,189333.0,1697898.0,90061.0,21351732.0,7446223.0,0.0,0.0,267077.0,150094.0,13273317.0,13273317.0,15551.0,85488.0,509010.0,25267.0,2788796.0,6105485.0,1288325.0,72943.0,19521.0,24500.0,11669350.0
0.0,1703323.0,27428.0,106527.0,3904753.0,91113.0,203150.0,101167.0,79250.0,0.0,146766.0,2339694.0,1255624.0,450242.0,0.0,31179589.0,82494.0,214417.0,50.0,209870.0,0.0,514852.0,224088.0,31249.0,31335.0,2728588.0,23748.0,56343.0,0.0,83081.0,4581968.0,0.0,0.0,7263.0,4584.0,17275.0,282833.0,132175.0,10742.0,45790.0,1136251.0,112731.0,0.0,109409.0,0.0,1654763.0,1447054.0,1049238.0,829562.0,36762.0,957711.0,40893.0,144457.0,88547.0,92129.0,172341.0,25676761.0,243548.0,424385.0,193725.0,1416850.0,83876.0,25676761.0,6152068.0,0.0,0.0,260927.0,157571.0,13861785.0,13861785.0,16719.0,64620.0,480815.0,27890.0,2623607.0,6488320.0,1428658.0,77486.0,20028.0,27568.0,11170230.0
